ABV,X,Y
GED,21,21
EVY,5,4
MIA,"20,875,813","20,986,349"
MCO,"20,283,541","18,759,938"
FLL,"14,263,270","13,061,632"
TPA,"9,194,994","9,150,458"
RSW,"4,239,261","4,159,215"
PBI,"3,100,624","3,113,591"
JAX,"2,729,129","2,716,473"
SFB,"1,321,675","1,209,382"
PIE,"915,672","819,974"
PNS,"792,916","787,916"
SRQ,"589,860","607,449"
PGD,"558,482","421,162"
VPS,"440,002","373,072"
ECP,"434,302","428,704"
EYW,"380,505","362,108"
TLH,"345,404","332,777"
DAB,"342,495","306,360"
MLB,"220,360","220,393"
GNV,"206,330","213,225"
SGJ,"28,462","22,030"
NIP,"6,598","6,980"
VQQ,"6,184","8,358"
VRB,"4,581",101
HRT,"2,161","1,584"
APF,"1,337",110
OPF,"1,250",212
NQX,813,"1,305"
NPA,632,51
PAM,623,327
COF,458,603
HST,327,0
BCT,323,169
FXE,317,151
MCF,305,410
SUA,289,23
TMB,245,134
LAL,223,290
NRB,165,0
ORL,114,98
OCF,103,8
FMY,58,15
ISM,39,26
MTH,28,19
VNC,26,0
07FA,25,2
FPR,25,2
DTS,23,20
LEE,23,9
TIX,18,0
BKV,9,7
MKY,9,18
FHB,8,5
GIF,5,0
SEF,5,5
BOW,4,0
CGC,2,3
LCQ,2,0
LNA,2,2
ZPH,1,0
ATL,"50,501,858","49,340,732"
SAV,"1,056,265","980,531"
AGS,"270,797","271,915"
CSG,"44,813","51,790"
VLD,"40,275","39,544"
BQK,"36,054","34,561"
ABY,"34,226","33,949"
SVN,"6,316","7,711"
LSF,"1,727",688
AHN,"1,433","1,073"
MCN,860,7
WRB,666,700
PDK,472,107
VAD,274,637
RYY,63,6
FTY,58,18
SSI,41,90
MGE,30,0
3J7,28,5
DNL,12,9
AYS,9,0
TVI,6,0
RMG,5,0
BGE,4,4
LGC,4,0
LZU,2,13
PUJ,2,0
WDR,2,1
AJR,1,0
FFC,1,0
GUM,"1,444,299","1,420,500"
UAM,"2,711","2,071"
HNL,"9,656,340","9,479,094"
OGG,"3,352,813","3,220,753"
KOA,"1,569,602","1,485,777"
LIH,"1,458,940","1,491,688"
ITO,"640,757","627,171"
MKK,"92,560","90,122"
LNY,"43,275","40,599"
JHM,"30,131","28,373"
LUP,"6,119","8,576"
MUE,"4,445","4,930"
JRF,"4,195","5,347"
HNM,"2,211","1,837"
NGF,169,834
DSM,"1,216,357","1,156,462"
CID,"547,786","557,383"
DBQ,"37,954","38,248"
SUX,"36,413","26,104"
ALO,"27,069","26,950"
MCW,"7,734","6,752"
FOD,"7,271","5,228"
BRL,"7,086","9,000"
IOW,"1,576","5,011"
AMW,378,316
CIN,200,400
DVN,23,0
MPZ,22,0
EOK,21,0
IKV,16,177
FSW,13,0
DEH,5,0
EBS,5,0
MUT,5,5
MXO,4,1
8C4,3,0
EFW,3,0
SPW,3,7
CBF,2,5
D02,2,0
OOA,2,0
AWG,1,0
GGI,1,0
OTM,1,6
BOI,"1,633,507","1,487,777"
IDA,"146,213","147,923"
SUN,"77,729","67,955"
LWS,"72,724","66,579"
TWF,"38,869","33,806"
PIH,"34,462","24,745"
MUO,682,620
SMN,179,1
65S,101,238
COE,48,27
DIJ,18,3
MAN,12,4
MYL,11,0
S72,4,0
1S1,2,0
SZT,2,3
U01,1,0
ORD,"37,589,899","36,305,668"
MDW,"11,044,387","10,830,850"
MLI,"364,393","368,114"
PIA,"307,189","318,162"
BMI,"188,490","186,633"
RFD,"101,790","108,379"
SPI,"93,269","90,413"
CMI,"89,318","89,836"
BLV,"79,988","32,589"
MWA,"10,044","10,570"
DEC,"8,453","8,034"
UIN,"7,847","9,159"
CPS,"3,586","1,987"
GBG,"1,215","2,100"
PWK,308,"1,351"
MDH,291,281
DPA,124,165
RSV,98,95
I63,76,24
VYS,70,0
UGN,67,89
MQB,66,82
DKB,28,0
LOT,21,43
IKK,4,0
RPJ,4,10
OLY,2,0
IND,"4,216,766","3,889,567"
FWA,"360,369","353,876"
SBN,"329,957","315,313"
EVV,"204,352","203,350"
LAF,"3,084","2,504"
BMG,"2,139","1,970"
GYY,889,"2,560"
HUF,501,294
MIE,482,312
C62,121,0
MQJ,26,56
EKM,15,0
TYQ,10,14
GSH,8,7
BAK,7,126
HNB,6,0
C65,4,0
UMP,4,0
MZZ,3,0
OKK,3,0
GGP,2,0
7I4,1,0
SIV,1,0
SMD,1,0
ICT,"781,944","773,550"
MHK,"63,761","66,263"
GCK,"26,825","27,152"
HYS,"8,265","8,470"
FOE,"6,051","4,939"
LBL,"5,212","5,456"
SLN,"3,967","10,079"
DDC,"1,793","2,396"
AAO,49,2
LWC,27,144
IXD,15,169
